1	16.0
2	32.0
3	16.0
4	12.0
5	26.0
6	13.0
7	13.0
8	17.0
9	15.0
10	34.0
11	50.0
12	40.0
13	16.0
14	25.0
15	14.0
16	24.0
17	15.0
18	15.0
19	8.0
20	22.0
21	15.0
22	15.0
23	14.0
24	15.0
25	11.0
26	16.0
27	62.0
28	19.0
29	39.0
30	12.0
31	33.0
32	17.0
33	36.0
34	22.0
35	11.0
36	14.0
37	12.0
38	34.0
39	14.0
40	9.0
41	93.0
42	15.0
43	19.0
44	11.0
45	19.0
46	54.0
47	11.0
48	18.0
49	13.0
50	14.0
51	19.0
52	39.0
53	14.0
54	11.0
55	29.0
56	29.0
57	70.0
58	13.0
59	24.0
60	42.0
61	48.0
62	39.0
63	19.0
64	12.0
65	11.0
66	47.0
67	23.0
68	18.0
69	11.0
70	39.0
71	14.0
72	37.0
73	25.0
74	43.0
75	20.0
76	38.0
77	37.0
78	40.0
79	40.0
80	37.0
81	26.0
82	23.0
83	36.0
84	12.0
85	16.0
86	17.0
87	13.0
88	16.0
89	14.0
90	34.0
91	17.0
92	14.0
93	51.0
94	11.0
95	27.0
96	35.0
97	16.0
98	60.0
99	39.0
100	37.0
101	97.0
102	41.0
103	60.0
104	21.0
105	87.0
106	22.0
107	154.0
108	74.0
109	20.0
110	39.0
111	12.0
112	32.0
113	79.0
114	43.0
115	85.0
116	61.0
117	18.0
118	23.0
119	71.0
120	17.0
121	85.0
122	33.0
123	13.0
124	26.0
125	117.0
126	98.0
127	67.0
128	60.0
129	29.0
130	54.0
131	89.0
132	14.0
133	160.0
134	39.0
135	97.0
136	19.0
137	46.0
138	79.0
139	54.0
140	72.0
141	52.0
142	157.0
143	20.0
144	95.0
145	21.0
146	89.0
147	48.0
148	87.0
149	129.0
150	76.0
151	102.0
152	49.0
153	45.0
154	77.0
155	101.0
156	37.0
157	102.0
158	42.0
159	37.0
160	98.0
161	84.0
162	310.0
163	33.0
164	93.0
165	51.0
166	57.0
167	95.0
168	131.0
169	26.0
170	53.0
171	23.0
172	29.0
173	135.0
174	104.0
175	115.0
176	46.0
177	16.0
178	169.0
179	86.0
180	171.0
181	29.0
182	168.0
183	65.0
184	196.0
185	226.0
186	137.0
187	150.0
188	75.0
189	81.0
190	224.0
191	100.0
192	47.0
193	112.0
194	36.0
195	41.0
196	31.0
197	60.0
198	133.0
199	105.0
200	30.0
201	40.0
202	129.0
203	46.0
204	138.0
205	53.0
206	104.0
207	99.0
208	32.0
209	54.0
210	114.0
211	107.0
212	108.0
213	35.0
214	84.0
215	65.0
216	83.0
217	206.0
218	130.0
219	52.0
220	88.0
221	71.0
222	193.0
223	103.0
224	101.0
225	198.0
226	91.0
227	63.0
228	130.0
229	96.0
230	83.0
231	72.0
232	179.0
233	43.0
234	41.0
235	143.0
236	59.0
237	103.0
238	25.0
239	97.0
240	166.0
241	29.0
242	74.0
243	127.0
244	92.0
245	114.0
246	114.0
247	165.0
248	74.0
249	119.0
250	173.0
251	206.0
252	108.0
253	98.0
254	95.0
255	309.0
256	121.0
257	91.0
258	71.0
259	155.0
260	110.0
261	51.0
262	100.0
263	186.0
264	189.0
265	140.0
266	242.0
267	198.0
268	500.0
269	150.0
270	123.0
271	272.0
272	252.0
273	114.0
274	120.0
275	170.0
276	245.0
277	162.0
278	14.0
279	163.0
280	180.0
281	145.0
282	194.0
283	151.0
284	122.0
285	148.0
286	45.0
287	155.0
288	34.0
289	147.0
290	123.0
291	97.0
292	128.0
293	107.0
294	98.0
295	158.0
296	64.0
297	36.0
298	182.0
299	132.0
300	151.0
301	192.0
302	218.0
303	97.0
304	105.0
305	104.0
306	121.0
307	259.0
308	158.0
309	49.0
310	246.0
311	43.0
312	152.0
313	220.0
314	250.0
315	161.0
316	153.0
317	153.0
318	280.0
319	234.0
320	47.0
321	315.0
322	241.0
323	118.0
324	200.0
325	224.0
326	208.0
327	74.0
328	176.0
329	224.0
330	308.0
331	115.0
332	263.0
333	168.0
334	237.0
335	120.0
336	158.0
337	322.0
338	262.0
339	368.0
340	410.0
341	291.0
342	235.0
343	281.0
344	394.0
345	239.0
346	367.0
347	224.0
348	79.0
349	159.0
350	190.0
351	500.0
352	185.0
353	500.0
354	407.0
355	379.0
356	172.0
357	152.0
358	500.0
359	500.0
360	278.0
361	398.0
362	489.0
363	260.0
364	421.0
365	266.0
366	498.0
367	261.0
368	244.0
369	256.0
370	203.0
371	217.0
372	500.0
373	263.0
374	413.0
375	207.0
376	500.0
377	296.0
378	106.0
379	271.0
380	300.0
381	494.0
382	446.0
383	453.0
384	500.0
385	276.0
386	500.0
387	331.0
388	474.0
389	239.0
390	231.0
391	311.0
392	500.0
393	276.0
394	96.0
395	500.0
396	422.0
397	500.0
398	500.0
399	136.0
400	394.0
401	346.0
402	500.0
403	500.0
404	500.0
405	500.0
406	374.0
407	209.0
408	304.0
409	171.0
410	167.0
411	500.0
412	500.0
413	500.0
414	263.0
415	500.0
416	340.0
417	175.0
418	500.0
419	484.0
420	52.0
421	500.0
422	500.0
423	407.0
424	189.0
425	463.0
426	270.0
427	434.0
428	454.0
429	500.0
430	349.0
431	151.0
432	423.0
433	500.0
434	305.0
435	469.0
436	323.0
437	323.0
438	500.0
439	500.0
440	210.0
441	500.0
442	213.0
443	170.0
444	151.0
445	188.0
446	297.0
447	198.0
448	324.0
449	169.0
450	155.0
451	176.0
452	179.0
453	171.0
454	129.0
455	145.0
456	151.0
457	288.0
458	200.0
459	206.0
460	165.0
461	259.0
462	254.0
463	213.0
464	351.0
465	131.0
466	164.0
467	128.0
468	337.0
469	263.0
470	273.0
471	173.0
472	257.0
473	366.0
474	272.0
475	239.0
476	500.0
477	410.0
478	265.0
479	98.0
480	338.0
481	241.0
482	500.0
483	406.0
484	500.0
485	500.0
486	500.0
487	267.0
488	125.0
489	416.0
490	500.0
491	439.0
492	213.0
493	500.0
494	500.0
495	500.0
496	500.0
497	424.0
498	418.0
499	500.0
500	455.0
501	178.0
502	246.0
503	500.0
504	264.0
505	500.0
506	500.0
507	500.0
508	500.0
509	500.0
510	500.0
511	500.0
512	500.0
513	500.0
514	500.0
515	500.0
516	500.0
517	205.0
518	500.0
519	500.0
520	500.0
521	500.0
522	500.0
523	500.0
524	500.0
525	277.0
526	500.0
527	476.0
528	455.0
529	500.0
530	481.0
531	500.0
532	500.0
533	500.0
534	500.0
535	500.0
536	500.0
537	500.0
538	500.0
539	500.0
540	500.0
541	500.0
542	500.0
543	188.0
544	500.0
545	500.0
546	407.0
547	500.0
548	128.0
549	500.0
550	500.0
551	500.0
552	445.0
553	431.0
554	500.0
555	500.0
556	500.0
557	474.0
558	500.0
559	500.0
560	500.0
561	500.0
562	500.0
563	500.0
564	410.0
565	500.0
566	500.0
567	253.0
568	500.0
569	235.0
570	500.0
571	500.0
572	500.0
573	500.0
574	500.0
575	245.0
576	392.0
577	459.0
578	500.0
579	500.0
580	500.0
581	500.0
582	396.0
583	500.0
584	500.0
585	500.0
586	500.0
587	310.0
588	500.0
589	500.0
590	432.0
591	500.0
592	500.0
593	292.0
594	500.0
595	212.0
596	95.0
597	500.0
598	500.0
599	392.0
600	500.0
601	500.0
602	500.0
603	500.0
604	500.0
605	500.0
606	500.0
607	347.0
608	500.0
609	500.0
610	500.0
611	500.0
612	500.0
613	331.0
614	500.0
615	145.0
616	500.0
617	500.0
618	500.0
619	500.0
620	195.0
621	500.0
622	212.0
623	500.0
624	500.0
625	500.0
626	500.0
627	500.0
628	500.0
629	500.0
630	500.0
631	493.0
632	500.0
633	486.0
634	462.0
635	500.0
636	302.0
637	500.0
638	500.0
639	500.0
640	500.0
641	500.0
642	371.0
643	203.0
644	500.0
645	500.0
646	500.0
647	500.0
648	452.0
649	497.0
650	134.0
651	293.0
652	220.0
653	500.0
654	147.0
655	500.0
656	500.0
657	500.0
658	500.0
659	500.0
660	147.0
661	290.0
662	500.0
663	500.0
664	494.0
665	500.0
666	500.0
667	500.0
668	500.0
669	477.0
670	500.0
671	500.0
672	500.0
673	500.0
674	281.0
675	127.0
676	500.0
677	500.0
678	500.0
679	500.0
680	500.0
681	500.0
682	500.0
683	500.0
684	368.0
685	500.0
686	500.0
687	500.0
688	500.0
689	500.0
690	500.0
691	500.0
692	500.0
693	500.0
694	500.0
695	500.0
696	500.0
697	500.0
698	500.0
699	500.0
700	264.0
701	500.0
702	500.0
703	443.0
704	500.0
705	500.0
706	500.0
707	450.0
708	500.0
709	500.0
710	500.0
711	500.0
712	500.0
713	500.0
714	500.0
715	500.0
716	500.0
717	500.0
718	500.0
719	500.0
720	500.0
721	500.0
722	421.0
723	500.0
724	500.0
725	500.0
726	500.0
727	319.0
728	500.0
729	500.0
730	500.0
731	500.0
732	500.0
733	500.0
734	500.0
735	500.0
736	500.0
737	500.0
738	500.0
739	500.0
740	500.0
741	334.0
742	500.0
743	500.0
744	500.0
745	500.0
746	500.0
747	500.0
748	500.0
749	500.0
750	500.0
751	500.0
752	500.0
753	500.0
754	500.0
755	500.0
756	500.0
757	500.0
758	500.0
759	500.0
760	500.0
761	500.0
762	484.0
763	500.0
764	500.0
765	500.0
766	500.0
767	500.0
768	500.0
769	500.0
770	500.0
771	500.0
772	500.0
773	500.0
774	500.0
775	500.0
776	500.0
777	500.0
778	500.0
779	500.0
780	500.0
781	500.0
782	500.0
783	500.0
784	500.0
785	500.0
786	151.0
787	500.0
788	500.0
789	500.0
790	500.0
791	439.0
792	377.0
793	338.0
794	500.0
795	500.0
796	500.0
797	500.0
798	500.0
799	500.0
800	500.0
801	218.0
802	129.0
803	500.0
804	426.0
805	500.0
806	305.0
807	500.0
808	373.0
809	217.0
810	192.0
811	370.0
812	500.0
813	500.0
814	500.0
815	303.0
816	500.0
817	500.0
818	171.0
819	415.0
820	500.0
821	500.0
822	500.0
823	500.0
824	500.0
825	500.0
826	500.0
827	500.0
828	500.0
829	500.0
830	500.0
831	500.0
832	500.0
833	500.0
834	500.0
835	500.0
836	500.0
837	500.0
838	500.0
839	500.0
840	500.0
841	301.0
842	500.0
843	500.0
844	500.0
845	500.0
846	500.0
847	500.0
848	500.0
849	500.0
850	500.0
851	500.0
852	500.0
853	240.0
854	500.0
855	500.0
856	457.0
857	500.0
858	500.0
859	500.0
860	500.0
861	317.0
862	500.0
863	470.0
864	358.0
865	500.0
866	500.0
867	459.0
868	264.0
869	500.0
870	500.0
871	500.0
872	482.0
873	500.0
874	500.0
875	500.0
876	462.0
877	500.0
878	500.0
879	500.0
880	459.0
881	408.0
882	500.0
883	318.0
884	272.0
885	500.0
886	452.0
887	486.0
888	325.0
889	424.0
890	399.0
891	352.0
892	243.0
893	430.0
894	295.0
895	321.0
896	394.0
897	423.0
898	500.0
899	500.0
900	500.0
901	396.0
902	328.0
903	500.0
904	500.0
905	500.0
906	500.0
907	349.0
908	500.0
909	500.0
910	500.0
911	500.0
912	500.0
913	500.0
914	500.0
915	377.0
916	500.0
917	500.0
918	500.0
919	500.0
920	411.0
921	500.0
922	500.0
923	500.0
924	500.0
925	500.0
926	400.0
927	500.0
928	500.0
929	286.0
930	500.0
931	374.0
932	332.0
933	500.0
934	500.0
935	500.0
936	500.0
937	500.0
938	500.0
939	500.0
940	500.0
941	500.0
942	500.0
943	500.0
944	500.0
945	500.0
946	500.0
947	500.0
948	500.0
949	500.0
950	500.0
951	500.0
952	500.0
953	500.0
954	500.0
955	500.0
956	500.0
957	500.0
958	500.0
959	500.0
960	500.0
961	500.0
962	500.0
963	500.0
964	500.0
965	500.0
966	359.0
967	500.0
968	293.0
969	500.0
970	500.0
971	500.0
972	500.0
973	500.0
974	500.0
975	500.0
976	500.0
977	500.0
978	454.0
979	500.0
980	500.0
981	500.0
982	500.0
983	300.0
984	500.0
985	500.0
986	500.0
987	500.0
988	500.0
989	435.0
990	306.0
991	326.0
992	500.0
993	500.0
994	500.0
995	500.0
996	500.0
997	500.0
998	374.0
999	500.0
1000	500.0
