1	10.0
2	19.0
3	14.0
4	13.0
5	18.0
6	13.0
7	38.0
8	21.0
9	34.0
10	17.0
11	14.0
12	31.0
13	14.0
14	23.0
15	32.0
16	14.0
17	22.0
18	9.0
19	19.0
20	13.0
21	23.0
22	36.0
23	14.0
24	20.0
25	10.0
26	23.0
27	63.0
28	13.0
29	13.0
30	22.0
31	25.0
32	21.0
33	23.0
34	37.0
35	10.0
36	10.0
37	27.0
38	21.0
39	12.0
40	36.0
41	84.0
42	19.0
43	37.0
44	29.0
45	12.0
46	19.0
47	34.0
48	15.0
49	13.0
50	22.0
51	21.0
52	18.0
53	18.0
54	39.0
55	18.0
56	14.0
57	13.0
58	24.0
59	30.0
60	39.0
61	13.0
62	24.0
63	29.0
64	10.0
65	22.0
66	39.0
67	24.0
68	52.0
69	12.0
70	9.0
71	14.0
72	32.0
73	44.0
74	21.0
75	9.0
76	10.0
77	30.0
78	28.0
79	22.0
80	18.0
81	19.0
82	10.0
83	31.0
84	55.0
85	16.0
86	18.0
87	32.0
88	16.0
89	14.0
90	23.0
91	23.0
92	33.0
93	13.0
94	15.0
95	11.0
96	15.0
97	11.0
98	26.0
99	15.0
100	27.0
