1	24.0
2	14.0
3	28.0
4	22.0
5	28.0
6	19.0
7	18.0
8	29.0
9	35.0
10	21.0
11	45.0
12	14.0
13	15.0
14	36.0
15	17.0
16	17.0
17	18.0
18	19.0
19	13.0
20	25.0
21	18.0
22	19.0
23	9.0
24	24.0
25	10.0
26	9.0
27	40.0
28	17.0
29	11.0
30	21.0
31	11.0
32	17.0
33	19.0
34	10.0
35	26.0
36	17.0
37	20.0
38	20.0
39	23.0
40	28.0
41	43.0
42	16.0
43	33.0
44	11.0
45	11.0
46	24.0
47	15.0
48	20.0
49	13.0
50	18.0
51	24.0
52	23.0
53	16.0
54	11.0
55	59.0
56	17.0
57	18.0
58	14.0
59	18.0
60	81.0
61	51.0
62	13.0
63	22.0
64	21.0
65	45.0
66	21.0
67	12.0
68	15.0
69	17.0
70	32.0
71	33.0
72	88.0
73	33.0
74	22.0
75	25.0
76	34.0
77	21.0
78	26.0
79	12.0
80	27.0
81	27.0
82	16.0
83	10.0
84	33.0
85	19.0
86	18.0
87	32.0
88	27.0
89	48.0
90	14.0
91	15.0
92	31.0
93	16.0
94	19.0
95	15.0
96	32.0
97	18.0
98	12.0
99	15.0
100	30.0
